Country,EPI 2000,EPI 2002,EPI 2004,EPI 2006,EPI 2008,EPI 2010,EPI 2012,EPI 2014,EPI 2016,EPI 2018,EPI 2020,CCPI 2008,CCPI 2009,CCPI 2010,CCPI 2011,CCPI 2012,CCPI 2013,CCPI 2014,CCPI 2015,CCPI 2016,CCPI 2017,CCPI 2018,CCPI 2019,CCPI 2020,2014 Sustainable Competitiveness,2015 Sustainable Competitiveness,2016 Sustainable Competitiveness,2017 Sustainable Competitiveness,2018 Sustainable Competitiveness,2019 Sustainable Competitiveness,2020 Sustainable Competitiveness,2014 Natural capital,2015 Natural capital,2016 Natural capital,2017 Natural capital,2018 Natural capital,2019 Natural capital,2020 Natural capital,2014 Resource Intensity,2015 Resource Intensity,2016 Resource Intensity,2017 Resource Intensity,2018 Resource Intensity,2019 Resource Intensity,2020 Resource Intensity,2014 Social capital,2015 Social capital,2016 Social capital,2017 Social capital,2018 Social capital,2019 Social capital,2020 Social capital,2014 Intellectual capital,2015 Intellectual capital,2016 Intellectual capital,2017 Intellectual capital,2018 Intellectual capital,2019 Intellectual capital,2020 Intellectual capital,2014 Governance,2015 Governance,2016 Governance,2017 Governance,2018 Governance,2019 Governance,2020 Governance,GDP PER CAPITA PER CAPITA 2000,GDP PER CAPITA PER CAPITA 2001,GDP PER CAPITA 2002,GDP PER CAPITA 2003,GDP PER CAPITA 2004,GDP PER CAPITA 2005,GDP PER CAPITA 2006,GDP PER CAPITA 2007,GDP PER CAPITA 2008,GDP PER CAPITA 2009,GDP PER CAPITA 2010,GDP PER CAPITA 2011,GDP PER CAPITA 2012,GDP PER CAPITA 2013,GDP PER CAPITA 2014,GDP PER CAPITA 2015,GDP PER CAPITA 2016,GDP PER CAPITA 2017,GDP PER CAPITA 2018,GDP PER CAPITA 2019,GDP PER CAPITA 2020,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Continent_Name,Continent_Code,Country_Number,coun_code,GNI per capita 2000,GNI per capita 2001,GNI per capita 2002,GNI per capita 2003,GNI per capita 2004,GNI per capita 2005,GNI per capita 2006,GNI per capita 2007,GNI per capita 2008,GNI per capita 2009,GNI per capita 2010,GNI per capita 2011,GNI per capita 2012,GNI per capita 2013,GNI per capita 2014,GNI per capita 2015,GNI per capita 2016,GNI per capita 2017,GNI per capita 2018,GNI per capita 2019,gsia_region
Kazakhstan,34.63,32.98,33.1,32.57,32.54,57.3,32.94,51.07,73.29,54.56,44.7,44.6,40.6,41.4,42.5,38.1,39.96,37.64,37.72,32.97,36.87,28.17,36.47,33.39,44.2,43.11,46.21,45.54,47.21,44.92,47.11,39.43,39.84,46.46,39.81,41.5,42.58,52.3,39.43,22.81,31.38,30.73,49.38,33.63,33.02,47.16,46.22,42.35,42.75,52.3,50.91,49.04,48.02,46.22,49.13,49.29,50.32,41.53,45.47,59.96,60.43,54.44,57.21,59.72,55.95,55.7,7733.79,8985.66,10021.9,11119.89,12428.84,13934.72,15725.35,17384.92,17968.24,17962.83,19225.08,20779.44,22032.17,24504.77,24726.47,23224.12,23818.82,24862.97,26157.66,27466.22,26728.54,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18754440,Europe,EU,398,KAZ,LM,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Europe
Kenya,46.86,48.78,49.18,49.44,49.57,51.39,49.28,36.99,62.49,47.25,34.7,,,,,,,,,,,,,,38.56,37.86,40.95,43.7,43.72,43.37,46.52,36.56,35.79,35.43,36.1,35.12,34.17,35.68,36.56,51.53,58.91,63.17,57.06,66.33,69.55,31.85,32.28,47.43,45.62,36.21,37.9,40.27,35.99,26.76,34.5,39.61,37.83,36.05,38.91,40.69,42.93,43.53,43.42,42.8,42.4,48.19,1617.53,1669.33,1659.38,1693.26,1778.54,1889.79,2016.6,2152.22,2139.16,2166.33,2311.98,2437.88,2530.34,2767.4,3021.43,3361.98,3635.28,4046.23,4304.77,4512.98,4452.21,KEN,"Population, total",SP.POP.TOTL,31964557,32848569,33751746,34678781,35635267,36624897,37649039,38705934,39791984,40901798,42030684,43178270,44343469,45519986,46700063,47878339,49051531,50221146,51392570,52573967,53771300,Africa,AF,404,KEN,L,L,L,L,L,L,L,L,L,L,L,L,L,L,LM,LM,LM,LM,LM,LM,Global
Kuwait,37.26,36.91,36.61,36.37,36.11,51.13,35.54,63.94,64.41,62.28,53.6,,,,,,,,,,,,,,39.97,39.71,42.14,41.16,36.94,36.37,41.15,36.75,37.34,29.65,30.24,26.91,27.08,35.49,36.75,21.55,33.58,36,44.06,30.64,27.33,54.96,57.53,40.13,38.15,43.67,43.38,50.81,35.89,34.32,38.75,38.82,36.09,30.64,36.69,49.76,47.8,51.5,54.56,47.61,50.12,55.43,56179.3,55943.36,57617.54,68071.05,75700.7,83689.27,88660.52,91473.21,90096.44,79424.38,73965.97,78178.22,82680.41,78058.38,70082.46,47230.66,44685.5,50855.55,51690.57,51962.05,,KWT,"Population, total",SP.POP.TOTL,2045123,2103273,2136991,2161626,2200498,2270196,2373661,2504026,2656010,2821041,2991884,3168054,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563,Asia,AS,414,KWT,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Global
Latvia,63.8,65.19,68.59,69.61,70.17,72.51,70.37,64.05,85.71,66.12,61.6,58.1,56.1,57.5,61.9,59.1,58.63,58.73,56.65,61.38,61.2,63.02,68.31,60.75,46.88,48.48,51,54.18,54.35,54.41,58.17,55.08,56.34,60.24,58.38,54.96,56.71,62.08,55.08,38.25,50.09,56.72,57.69,61.07,61.54,44.32,43.81,31.3,33.57,46.8,47.24,51.75,48.86,46.29,44.84,50.51,49.13,44.06,49.43,49.13,57.74,57.8,59.27,59.48,62.96,66.06,8033.31,9036.58,10068.68,11028.41,12239.67,13877.66,15799.45,18185.45,19519.63,16975.88,17656.51,19879.2,21407.52,22812.92,23803.81,24961.35,26710.1,28650.01,30799.43,32002.76,32019.22,LVA,"Population, total",SP.POP.TOTL,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1901548,Europe,EU,428,LVA,LM,UM,UM,UM,UM,UM,UM,UM,UM,H,UM,UM,H,H,H,H,H,H,H,H,Europe
Lebanon,47.37,46.73,47.72,47.75,47.71,57.91,47.35,50.15,69.14,61.08,45.4,,,,,,,,,,,,,,38.88,39.63,39.75,36.79,37.06,37.29,37.93,31.55,32.41,28.62,18.36,19.64,20.5,26.48,31.55,30.08,34.58,40.63,49.79,44.42,39.89,48.91,48.01,34.98,44.54,46.93,47.75,44.52,41.54,44.92,47.96,32.34,33.37,33.46,35.94,42.53,42.73,37.4,46.59,41.59,40.33,42.85,8952.12,9146.93,9170.33,9189.07,9668,9955.02,10281.73,11522.56,12819.01,14095.57,14961.73,14669.42,14819.59,14976.78,15029.61,15067.77,15479.82,15987.65,15962.42,15166.98,12288.76,LBN,"Population, total",SP.POP.TOTL,3842774,3990999,4182205,4388378,4569377,4698761,4759760,4767347,4764745,4813026,4953064,5202022,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442,Asia,AS,422,LBN,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
Lithuania,61.89,62.68,64.3,65.1,65.21,68.33,65.5,61.26,85.49,69.33,62.9,55.9,56.2,55.9,59.5,61.4,60.23,60.94,60.07,58.65,59.75,69.2,70.47,66.22,49.1,49.26,51.76,51.76,50.76,50.62,55.87,54.39,54.89,59.59,55.41,51.36,52.35,57.5,54.39,41.4,46.06,53.52,57.92,56.8,62.3,47.56,49.44,57.2,52.06,45.42,48.11,51.2,52.93,47.05,54.43,51.51,49.24,43,48.17,46.43,53.54,50.87,54.17,52.33,52.82,60.18,8449.57,9440.15,10480.72,12055.23,13019.57,14510.53,16461.79,19071.44,20721.01,18130.06,20112.1,22884.82,24703.69,26721.58,28184.47,28834.43,30925.17,33761.87,36346.4,38765,38734.73,LTU,"Population, total",SP.POP.TOTL,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794700,Europe,EU,440,LTU,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,H,H,H,H,H,H,H,H,Europe
Luxembourg,68.82,68,68.18,68.69,69.28,67.83,69.2,83.29,86.58,79.12,82.3,39.2,40.4,42.8,48.3,55.2,59.56,60.27,57.25,62.47,62.86,55.54,59.92,60.91,51.59,52.84,53.78,53.63,53.18,54.45,57.95,45.24,44.72,48.23,42.62,39.75,40.2,46.85,45.24,42.29,49.97,58.62,39.05,63.53,68.28,62.63,62.26,38.59,52.76,56.24,57.22,58.87,60.17,59.33,52.51,52.12,54.54,49.69,51.84,48.17,55.61,55.21,56.37,54.32,61.62,63.92,55365.29,55895.62,58771.51,60043.96,64056.87,68220.06,77928.01,83960.98,86693.9,82321.87,85685.79,92005.02,91622.18,95590.54,101297.58,103722.99,110660.87,112308.17,116644.85,120962.19,118359.53,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,632275,Europe,EU,442,LUX,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Malaysia,59.7,59.95,60.57,62.79,63.26,64.99,62.51,59.31,74.23,59.22,47.9,44.2,44.3,46.9,47.1,49.2,47.53,47.06,46.84,53.49,50.96,32.61,38.08,34.21,45.9,44.62,47.42,46.71,46.03,46.44,47.05,49.64,50.14,49.92,48.88,45.59,47.29,48.66,49.64,25.57,33.3,38.21,40.5,37.87,34.66,44.32,45.03,46.46,44.3,45.04,47.61,48.56,54.11,49.2,54.45,51.88,51.63,51.4,52.68,52.79,53.17,56,50.44,50.93,48.05,50.69,12913.17,12976.68,13606.05,14369.83,15450.05,16454.22,17549.6,18784.48,19695.08,19193.19,20508.76,21704.74,22985.8,23477.99,24607.67,24801.89,25546.13,26661.51,28219.8,29564.01,27886.86,MYS,"Population, total",SP.POP.TOTL,23194252,23709115,24208391,24698821,25190647,25690615,26201954,26720367,27236003,27735038,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998,Asia,AS,458,MYS,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
Malta,47.85,47.29,47.88,47.6,48.1,76.33,48.51,67.42,88.48,80.9,70.7,57.8,55.1,55.2,63.8,60.6,67.07,66.05,60.84,61.82,62.51,61.87,65.06,60.76,41.67,45.24,45.2,48.1,47.56,46.61,50.86,36.56,35.64,28.54,27.07,23.05,28.72,32.4,36.56,36.74,42.58,46.66,43.86,50.77,56.01,45.96,44.72,36.57,39.78,49.6,51.44,56.19,49.74,59.53,62.2,60.56,58.76,47.15,48.66,39.8,49.58,45.74,57.81,55.04,54.97,61.05,18363.49,18518.55,19599.85,20907.96,21527.47,22306.68,23289.81,25028.76,26523.47,26669.16,28744.7,28973.2,30243.99,32295.88,34344.11,37455.07,39886.95,42644.05,44482.24,46766.77,42640.12,MLT,"Population, total",SP.POP.TOTL,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,525285,Europe,EU,470,MLT,H,UM,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,Europe
Mexico,43.28,44.85,46.7,47.63,48.66,67.34,49.11,55.03,73.59,59.69,52.6,62.5,59.1,61.2,64,64.6,64.91,61.5,61.3,57.04,57.02,54.77,56.82,47.01,43.42,41.44,44.17,44.69,44.86,44.41,46.37,47.28,47.02,49.24,47.05,43.25,44.48,49.31,47.28,31.05,40.58,43.27,39.66,45.26,47.68,41.77,40.37,32.37,42.82,40.66,41.36,40.82,43.95,36.39,37.29,42.27,41.68,38,40.23,51.79,52.37,52.13,50.54,53.51,52.96,53.79,11089.81,11129.87,11187.48,11482.45,12085.76,12657.64,13808.18,14290.07,14924.82,14558.24,15260.62,16520.26,17162.93,17373.9,18056.79,18301.5,19323.67,19721.26,20257.83,20447.89,18833.08,MEX,"Population, total",SP.POP.TOTL,98899845,100298152,101684764,103081020,104514934,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753,North America,,484,MEX,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,Global
